# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	792328	792882	+							HELPY_RS03855	555		old_locus_tag=HELPY_0797
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	792328	792882	+	WP_015828993.1	WP_015828993.1		hypothetical protein			HELPY_RS03855	555	184	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	792888	794939	+							HELPY_RS03860	2052		old_locus_tag=HELPY_0798
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	792888	794939	+	WP_000839098.1	WP_000839098.1		LTA synthase family protein			HELPY_RS03860	2052	683	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	795165	796037	+					folD		HELPY_RS03865	873		old_locus_tag=HELPY_0799
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	795165	796037	+	WP_015828994.1	WP_015828994.1		bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	folD		HELPY_RS03865	873	290	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	796037	796909	+					lepB		HELPY_RS03870	873		old_locus_tag=HELPY_0800
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	796037	796909	+	WP_000670688.1	WP_000670688.1		signal peptidase I	lepB		HELPY_RS03870	873	290	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	796918	797616	+							HELPY_RS03875	699		old_locus_tag=HELPY_0801
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	796918	797616	+	WP_001159368.1	WP_001159368.1		site-2 protease family protein			HELPY_RS03875	699	232	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	797649	798098	+					rpiB		HELPY_RS03880	450		old_locus_tag=HELPY_0802
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	797649	798098	+	WP_001039810.1	WP_001039810.1		ribose 5-phosphate isomerase B	rpiB		HELPY_RS03880	450	149	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	798165	798497	+							HELPY_RS03885	333		old_locus_tag=HELPY_0803
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	798165	798497	+	WP_000495094.1	WP_000495094.1		hypothetical protein			HELPY_RS03885	333	110	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	798555	799094	+					apt		HELPY_RS03890	540		old_locus_tag=HELPY_0804
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	798555	799094	+	WP_001006106.1	WP_001006106.1		adenine phosphoribosyltransferase	apt		HELPY_RS03890	540	179	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	799109	799687	+							HELPY_RS03895	579		old_locus_tag=HELPY_0805
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	799109	799687	+	WP_000393410.1	WP_000393410.1		DedA family protein			HELPY_RS03895	579	192	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	799735	801225	+							HELPY_RS03900	1491		old_locus_tag=HELPY_0806
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	799735	801225	+	WP_000912908.1	WP_000912908.1		leucyl aminopeptidase			HELPY_RS03900	1491	496	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	801227	802327	+					ychF		HELPY_RS03905	1101		old_locus_tag=HELPY_0807
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	801227	802327	+	WP_000524632.1	WP_000524632.1		redox-regulated ATPase YchF	ychF		HELPY_RS03905	1101	366	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	802357	803229	+							HELPY_RS03910	873		old_locus_tag=HELPY_0808
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	802357	803229	+	WP_000188574.1	WP_000188574.1		SPASM domain-containing protein			HELPY_RS03910	873	290	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	803297	804343	-							HELPY_RS03915	1047		old_locus_tag=HELPY_0810
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	803297	804343	-	WP_000647365.1	WP_000647365.1		AI-2E family transporter			HELPY_RS03915	1047	348	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	804458	805276	+					dapF		HELPY_RS03920	819		old_locus_tag=HELPY_0811
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	804458	805276	+	WP_000232487.1	WP_000232487.1		diaminopimelate epimerase	dapF		HELPY_RS03920	819	272	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	805389	806036	+							HELPY_RS03925	648		old_locus_tag=HELPY_0812
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	805389	806036	+	WP_001148292.1	WP_001148292.1		YkgB family protein			HELPY_RS03925	648	215	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	806060	806305	-							HELPY_RS03930	246		old_locus_tag=HELPY_0813
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	806060	806305	-	WP_000418870.1	WP_000418870.1		ribbon-helix-helix domain-containing protein			HELPY_RS03930	246	81	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	806477	807727	+							HELPY_RS03935	1251		old_locus_tag=HELPY_0814
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	806477	807727	+	WP_000996905.1	WP_000996905.1		hypothetical protein			HELPY_RS03935	1251	416	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	807828	808040	+					rpsU		HELPY_RS03940	213		old_locus_tag=HELPY_0815
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	807828	808040	+	WP_001117778.1	WP_001117778.1		30S ribosomal protein S21	rpsU		HELPY_RS03940	213	70	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	808079	808822	+					fabG		HELPY_RS03945	744		old_locus_tag=HELPY_0816
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	808079	808822	+	WP_001160852.1	WP_001160852.1		3-oxoacyl-ACP reductase FabG	fabG		HELPY_RS03945	744	247	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	809053	809289	+					acpP		HELPY_RS03950	237		old_locus_tag=HELPY_0817
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	809053	809289	+	WP_001163091.1	WP_001163091.1		acyl carrier protein	acpP		HELPY_RS03950	237	78	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	809423	810631	+							HELPY_RS03955	1209		old_locus_tag=HELPY_0818
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	809423	810631	+	WP_231844046.1	WP_231844046.1		beta-ketoacyl-ACP synthase II			HELPY_RS03955	1209	402	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	810654	811592	+					accA		HELPY_RS03960	939		old_locus_tag=HELPY_0819
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	810654	811592	+	WP_001029386.1	WP_001029386.1		acetyl-CoA carboxylase carboxyl transferase subunit alpha	accA		HELPY_RS03960	939	312	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	812061	812498	+							HELPY_RS03965	438		old_locus_tag=HELPY_0820
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	812061	812498	+	WP_000237460.1	WP_000237460.1		hypothetical protein			HELPY_RS03965	438	145	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	812568	813389	-							HELPY_RS03970	822		old_locus_tag=HELPY_0821
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	812568	813389	-	WP_000792810.1	WP_000792810.1		hypothetical protein			HELPY_RS03970	822	273	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	813386	814351	-							HELPY_RS03975	966		old_locus_tag=HELPY_0822
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	813386	814351	-	WP_000437271.1	WP_000437271.1		hypothetical protein			HELPY_RS03975	966	321	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	814364	815047	-					rlmB		HELPY_RS03980	684		old_locus_tag=HELPY_0823
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	814364	815047	-	WP_001149347.1	WP_001149347.1		23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB	rlmB		HELPY_RS03980	684	227	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	815060	815923	-					rsmI		HELPY_RS03985	864		old_locus_tag=HELPY_0824
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	815060	815923	-	WP_000965282.1	WP_000965282.1		16S rRNA (cytidine(1402)-2'-O)-methyltransferase	rsmI		HELPY_RS03985	864	287	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	815948	816151	-					rpmE		HELPY_RS03990	204		old_locus_tag=HELPY_0825
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	815948	816151	-	WP_014662352.1	WP_014662352.1		50S ribosomal protein L31	rpmE		HELPY_RS03990	204	67	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	816414	817730	+					rho		HELPY_RS03995	1317		old_locus_tag=HELPY_0826
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	816414	817730	+	WP_001004709.1	WP_001004709.1		transcription termination factor Rho	rho		HELPY_RS03995	1317	438	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	817768	818535	+					murI		HELPY_RS04000	768		old_locus_tag=HELPY_0827
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	817768	818535	+	WP_000690400.1	WP_000690400.1		glutamate racemase	murI		HELPY_RS04000	768	255	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	818547	819401	+							HELPY_RS04005	855		old_locus_tag=HELPY_0828
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	818547	819401	+	WP_000471725.1	WP_000471725.1		sel1 repeat family protein			HELPY_RS04005	855	284	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	819485	820477	-					csd6		HELPY_RS04010	993		old_locus_tag=HELPY_0829
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	819485	820477	-	WP_000757132.1	WP_000757132.1		cell shape-determining L,D-carboxypeptidase Csd6	csd6		HELPY_RS04010	993	330	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	820474	821379	-					era		HELPY_RS04015	906		old_locus_tag=HELPY_0830
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	820474	821379	-	WP_000849786.1	WP_000849786.1		GTPase Era	era		HELPY_RS04015	906	301	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	821379	822710	-					hslU		HELPY_RS04020	1332		old_locus_tag=HELPY_0831
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	821379	822710	-	WP_000040780.1	WP_000040780.1		HslU--HslV peptidase ATPase subunit	hslU		HELPY_RS04020	1332	443	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	822710	823252	-					hslV		HELPY_RS04025	543		old_locus_tag=HELPY_0832
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	822710	823252	-	WP_000461043.1	WP_000461043.1		ATP-dependent protease subunit HslV	hslV		HELPY_RS04025	543	180	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	823256	823705	-					rplI		HELPY_RS04030	450		old_locus_tag=HELPY_0833
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	823256	823705	-	WP_000866282.1	WP_000866282.1		50S ribosomal protein L9	rplI		HELPY_RS04030	450	149	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	823767	823943	-							HELPY_RS04035	177		old_locus_tag=HELPY_0834
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	823767	823943	-	WP_231844030.1	WP_231844030.1		hypothetical protein			HELPY_RS04035	177	58	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	824052	825281	-							HELPY_RS04040	1230		old_locus_tag=HELPY_0835
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	824052	825281	-	WP_000176316.1	WP_000176316.1		RNA-guided endonuclease TnpB family protein			HELPY_RS04040	1230	409	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	825268	825900	-							HELPY_RS04045	633		old_locus_tag=HELPY_0836
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	825268	825900	-	WP_000836802.1	WP_000836802.1		IS607 family transposase			HELPY_RS04045	633	210	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	825897	826091	-							HELPY_RS04050	195		old_locus_tag=HELPY_0837
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	825897	826091	-	WP_001114660.1	WP_001114660.1		type II toxin-antitoxin system HicA family toxin			HELPY_RS04050	195	64	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	826084	826302	-							HELPY_RS04055	219		old_locus_tag=HELPY_0838
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	826084	826302	-	WP_000906663.1	WP_000906663.1		type II toxin-antitoxin system HicB family antitoxin			HELPY_RS04055	219	72	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	826360	828288	-							HELPY_RS04060	1929		old_locus_tag=HELPY_0839
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	826360	828288	-	WP_000644714.1	WP_000644714.1		DUF262 and DUF1524 domain-containing protein			HELPY_RS04060	1929	642	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	828425	829870	+					glnA		HELPY_RS04065	1446		old_locus_tag=HELPY_0840
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	828425	829870	+	WP_000236895.1	WP_000236895.1		type I glutamate--ammonia ligase	glnA		HELPY_RS04065	1446	481	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	830097	830267	-							HELPY_RS04070	171		old_locus_tag=HELPY_0842
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	830097	830267	-	WP_000849537.1	WP_000849537.1		hypothetical protein			HELPY_RS04070	171	56	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	830698	831462	-					dapB		HELPY_RS04075	765		old_locus_tag=HELPY_0843
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	830698	831462	-	WP_000690505.1	WP_000690505.1		4-hydroxy-tetrahydrodipicolinate reductase	dapB		HELPY_RS04075	765	254	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	831485	832864	-					glcD		HELPY_RS04080	1380		old_locus_tag=HELPY_0844
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	831485	832864	-	WP_000886840.1	WP_000886840.1		glycolate oxidase subunit GlcD	glcD		HELPY_RS04080	1380	459	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	832866	834215	-					pgbA		HELPY_RS04085	1350		old_locus_tag=HELPY_0845
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	832866	834215	-	WP_000945098.1	WP_000945098.1		plasminogen-binding protein PgbA	pgbA		HELPY_RS04085	1350	449	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	834226	834864	-							HELPY_RS04090	639		old_locus_tag=HELPY_0846
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	834226	834864	-	WP_000119940.1	WP_000119940.1		hypothetical protein			HELPY_RS04090	639	212	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	834864	836084	-					csd1		HELPY_RS04095	1221		old_locus_tag=HELPY_0847
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	834864	836084	-	WP_000231045.1	WP_000231045.1		peptidoglycan DD-metalloendopeptidase Csd1	csd1		HELPY_RS04095	1221	406	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	836292	836498	-							HELPY_RS08575	207		old_locus_tag=HELPY_0848
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	836292	836498	-	WP_025446089.1	WP_025446089.1		R.Pab1 family restriction endonuclease			HELPY_RS08575	207	68	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	836440	837042	-							HELPY_RS04105	603		old_locus_tag=HELPY_0849
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	836440	837042	-	WP_000052859.1	WP_000052859.1		R.Pab1 family restriction endonuclease			HELPY_RS04105	603	200	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	837029	838021	-							HELPY_RS04110	993		old_locus_tag=HELPY_0850
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	837029	838021	-	WP_001048383.1	WP_001048383.1		hypothetical protein			HELPY_RS04110	993	330	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	838067	840388	-					gyrB		HELPY_RS04115	2322		old_locus_tag=HELPY_0851
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	838067	840388	-	WP_001181983.1	WP_001181983.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	gyrB		HELPY_RS04115	2322	773	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	840401	841525	-					dnaN		HELPY_RS04120	1125		old_locus_tag=HELPY_0852
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	840401	841525	-	WP_000704213.1	WP_000704213.1		DNA polymerase III subunit beta	dnaN		HELPY_RS04120	1125	374	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	841581	842649	-							HELPY_RS04125	1069		pseudo;old_locus_tag=HELPY_0854
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	841581	842649	-				phospholipase A			HELPY_RS04125	1069		pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	842664	843992	-							HELPY_RS04130	1329		old_locus_tag=HELPY_0855
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	842664	843992	-	WP_000514564.1	WP_000514564.1		sodium-dependent transporter			HELPY_RS04130	1329	442	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	844003	845331	-							HELPY_RS04135	1329		old_locus_tag=HELPY_0856
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	844003	845331	-	WP_000526554.1	WP_000526554.1		sodium-dependent transporter			HELPY_RS04135	1329	442	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	845561	845962	+					ybgC		HELPY_RS04140	402		old_locus_tag=HELPY_0857
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	845561	845962	+	WP_001203800.1	WP_001203800.1		acyl-CoA thioesterase YbgC	ybgC		HELPY_RS04140	402	133	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	845952	846212	+							HELPY_RS04145	261		old_locus_tag=HELPY_0858
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	845952	846212	+	WP_001138735.1	WP_001138735.1		DUF493 family protein			HELPY_RS04145	261	86	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	846209	847477	-					murD		HELPY_RS04150	1269		old_locus_tag=HELPY_0859
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	846209	847477	-	WP_000703455.1	WP_000703455.1		UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	murD		HELPY_RS04150	1269	422	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	847479	848540	-					mraY		HELPY_RS04155	1062		old_locus_tag=HELPY_0860
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	847479	848540	-	WP_000967108.1	WP_000967108.1		phospho-N-acetylmuramoyl-pentapeptide-transferase	mraY		HELPY_RS04155	1062	353	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	848666	849502	+							HELPY_RS04160	837		old_locus_tag=HELPY_0861
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	848666	849502	+	WP_000442312.1	WP_000442312.1		neuraminyllactose-binding hemagglutinin			HELPY_RS04160	837	278	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	849602	849790	+					rpmB		HELPY_RS04165	189		old_locus_tag=HELPY_0862
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	849602	849790	+	WP_001119005.1	WP_001119005.1		50S ribosomal protein L28	rpmB		HELPY_RS04165	189	62	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	849973	851109	+							HELPY_RS04170	1137		old_locus_tag=HELPY_0864
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	849973	851109	+	WP_000461980.1	WP_000461980.1		potassium channel family protein			HELPY_RS04170	1137	378	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	851464	852318	-							HELPY_RS04175	855		old_locus_tag=HELPY_0865
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	851464	852318	-	WP_000611615.1	WP_000611615.1		hypothetical protein			HELPY_RS04175	855	284	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	852331	854833	-							HELPY_RS08580	2503		pseudo
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	852331	854833	-				DUF3519 domain-containing protein			HELPY_RS08580	2503		pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	855214	855765	-					ruvA		HELPY_RS04190	552		old_locus_tag=HELPY_0868
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	855214	855765	-	WP_000635131.1	WP_000635131.1		Holliday junction branch migration protein RuvA	ruvA		HELPY_RS04190	552	183	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	855791	857635	-							HELPY_RS04195	1845		old_locus_tag=HELPY_0869
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	855791	857635	-	WP_000051048.1	WP_000051048.1		FapA family protein			HELPY_RS04195	1845	614	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	857726	859186	+					murJ		HELPY_RS04200	1461		old_locus_tag=HELPY_0870
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	857726	859186	+	WP_000913532.1	WP_000913532.1		murein biosynthesis integral membrane protein MurJ	murJ		HELPY_RS04200	1461	486	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	859187	860584	+					cysS		HELPY_RS04205	1398		old_locus_tag=HELPY_0871
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	859187	860584	+	WP_000471282.1	WP_000471282.1		cysteine--tRNA ligase	cysS		HELPY_RS04205	1398	465	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	860807	864745	+							HELPY_RS04210	3939		old_locus_tag=HELPY_0872
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	860807	864745	+	WP_000405488.1	WP_000405488.1		vacuolating cytotoxin autotransporter			HELPY_RS04210	3939	1312	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	864818	865585	-							HELPY_RS04215	768		old_locus_tag=HELPY_0873
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	864818	865585	-	WP_000242349.1	WP_000242349.1		ABC transporter ATP-binding protein			HELPY_RS04215	768	255	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	865585	866565	-							HELPY_RS04220	981		old_locus_tag=HELPY_0874
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	865585	866565	-	WP_000921455.1	WP_000921455.1		iron ABC transporter permease			HELPY_RS04220	981	326	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	866558	867412	-							HELPY_RS04225	855		old_locus_tag=HELPY_0875
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	866558	867412	-	WP_000538079.1	WP_000538079.1		SDR family oxidoreductase			HELPY_RS04225	855	284	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	867552	868076	+							HELPY_RS04230	525		old_locus_tag=HELPY_0876
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	867552	868076	+	WP_001120213.1	WP_001120213.1		acyl-CoA thioesterase			HELPY_RS04230	525	174	
gene	pseudogene	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	868180	868449	-							HELPY_RS04235	270		pseudo
CDS	without_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	868180	868449	-				type II toxin-antitoxin system mRNA interferase toxin, HP0892 family			HELPY_RS04235	270		pseudo
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	868436	868747	-							HELPY_RS04240	312		old_locus_tag=HELPY_0877
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	868436	868747	-	WP_001134055.1	WP_001134055.1		hypothetical protein			HELPY_RS04240	312	103	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	868825	869091	-							HELPY_RS04245	267		old_locus_tag=HELPY_0878
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	868825	869091	-	WP_000916168.1	WP_000916168.1		type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family			HELPY_RS04245	267	88	
gene	protein_coding	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	869072	869449	-							HELPY_RS04250	378		old_locus_tag=HELPY_0879
CDS	with_protein	GCF_000091345.1	Primary Assembly	chromosome		NC_012973.1	869072	869449	-	WP_001134081.1	WP_001134081.1		hypothetical protein			HELPY_RS04250	378	125	
